width_um,frequency_THz,frequency_Hz,lambda_um,beta_rad_per_um,n_eff_from_beta
0.8,189.74601894185852,189746018941858.53,1.5799670510708403,6.18869391560643,1.5562062867456457
0.8,189.75852279813145,189758522798131.44,1.5798629414865581,6.189195780473746,1.5562299332477683
0.8,189.77102665440438,189771026654404.38,1.5797588456216647,6.189697658327028,1.5562535798988086
0.8,189.78353051067734,189783530510677.34,1.5796547634734486,6.190199549158105,1.5562772266966833
0.8,189.79603436695027,189796034366950.28,1.5795506950391989,6.1907014529588,1.5563008736393076
0.8,189.80853822322322,189808538223223.22,1.5794466403162055,6.1912033697209425,1.5563245207245993
0.8,189.82104207949615,189821042079496.16,1.579342599301759,6.191705299436352,1.5563481679504736
0.8,189.83354593576908,189833545935769.1,1.5792385719931499,6.192207242096857,1.5563718153148494
0.8,189.84604979204204,189846049792042.03,1.5791345583876706,6.192709197694286,1.5563954628156447
0.8,189.85855364831497,189858553648314.97,1.5790305584826136,6.19321116622046,1.5564191104507783
0.8,189.8710575045879,189871057504587.9,1.578926572275272,6.193713147667207,1.556442758218169
0.8,189.88356136086085,189883561360860.84,1.5788225997629397,6.194215142026355,1.5564664061157376
0.8,189.89606521713378,189896065217133.78,1.578718640942912,6.194717149289723,1.5564900541414028
0.8,189.90856907340674,189908569073406.75,1.5786146958124834,6.1952191694491425,1.556513702293087
0.8,189.92107292967967,189921072929679.66,1.5785107643689513,6.195721202496434,1.5565373505687108
0.8,189.9335767859526,189933576785952.6,1.578406846609612,6.196223248423426,1.5565609989661966
0.8,189.94608064222555,189946080642225.56,1.5783029425317623,6.196725307221946,1.556584647483467
